MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,HouseStyle,OverallQual,OverallCond,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,MoSold,HouseAge,GarageAge,YearsSinceRemodel,YearsSinceLastSale
160,0.15325342465753425,21.0,1680,0.6386986301369864,0.7157534246575342,0.011986301369863013,0.2979452054794521,6,5,0.7782534246575342,0.15154109589041095,0.1404109589041096,2,297.0,0.622431506849315,0.4366438356164384,3,1,1,0,483,483,0.2928082191780822,483,504,987,0,1,1,2,0.5102739726027398,5,1,1,1,1,1,288,0,0,6,53,53.0,53,19
70,0.7842465753424658,75.0,12000,0.6386986301369864,0.7157534246575342,0.03767123287671233,0.2979452054794521,7,7,0.7782534246575342,0.14897260273972604,0.14554794520547945,0,0.0,0.622431506849315,0.4366438356164384,3,1,3,275,429,704,0.514554794520548,860,704,1564,0,1,1,3,0.026541095890410957,7,1,4,1,1,1,234,0,0,7,84,84.0,75,16
70,0.15325342465753425,65.0,11700,0.3287671232876712,0.18664383561643835,0.07962328767123288,0.2979452054794521,7,7,0.0059931506849315065,0.017123287671232876,0.015410958904109588,0,0.0,0.3339041095890411,0.004280821917808219,3,1,1,0,1240,1240,0.2928082191780822,1320,1320,2640,0,1,1,4,0.3921232876712329,8,1,4,5,1,4,864,181,0,5,145,75.0,22,16
20,0.7842465753424658,98.0,12704,0.6386986301369864,0.7157534246575342,0.04965753424657534,0.5017123287671232,8,5,0.19863013698630136,0.3501712328767123,0.3441780821917808,2,306.0,0.03424657534246575,0.4392123287671233,5,1,1,0,2042,2042,0.514554794520548,2042,0,2042,0,2,1,3,0.07106164383561644,8,1,4,1,2,3,1390,0,90,8,17,16.0,16,16
20,0.7842465753424658,77.2,14781,0.02482876712328767,0.06164383561643835,0.10273972602739725,0.5017123287671232,8,5,0.19863013698630136,0.3501712328767123,0.3441780821917808,2,178.0,0.3339041095890411,0.4392123287671233,4,4,1,0,1753,1753,0.514554794520548,1787,0,1787,0,2,0,3,0.3921232876712329,7,1,3,1,2,3,748,198,150,8,24,24.0,23,19
60,0.7842465753424658,75.0,11404,0.3287671232876712,0.7157534246575342,0.10273972602739725,0.2979452054794521,7,5,0.7782534246575342,0.3501712328767123,0.3441780821917808,2,202.0,0.3339041095890411,0.4392123287671233,4,3,5,252,901,1153,0.514554794520548,1153,878,2031,0,2,1,3,0.3921232876712329,8,1,3,1,3,2,541,192,84,7,27,27.0,26,17
20,0.7842465753424658,90.0,14115,0.3287671232876712,0.7157534246575342,0.03767123287671233,0.5017123287671232,6,7,0.7782534246575342,0.0017123287671232876,0.004280821917808219,0,0.0,0.622431506849315,0.4392123287671233,3,1,5,296,230,1073,0.514554794520548,1811,0,1811,0,1,0,2,0.07106164383561644,6,1,4,1,3,2,470,0,0,7,69,69.0,21,19
20,0.7842465753424658,75.0,8250,0.6386986301369864,0.7157534246575342,0.1523972602739726,0.5017123287671232,6,7,0.19863013698630136,0.15154109589041095,0.1404109589041096,4,260.0,0.622431506849315,0.4366438356164384,4,1,3,787,305,1092,0.514554794520548,1092,0,1092,1,1,0,3,0.5102739726027398,6,0,0,1,2,2,504,0,0,7,61,61.0,61,17
70,0.15325342465753425,90.0,9900,0.6386986301369864,0.7157534246575342,0.07962328767123288,0.2979452054794521,6,4,0.7782534246575342,0.13955479452054795,0.13356164383561644,0,0.0,0.622431506849315,0.10102739726027397,3,2,1,0,1008,1008,0.2928082191780822,1178,1032,2210,0,2,0,5,0.026541095890410957,8,0,0,5,1,1,205,0,48,5,145,95.0,75,18
45,0.15325342465753425,57.0,7449,0.6386986301369864,0.7157534246575342,0.023972602739726026,0.009417808219178082,7,7,0.7782534246575342,0.13955479452054795,0.13356164383561644,0,0.0,0.622431506849315,0.4392123287671233,3,1,1,0,637,637,0.514554794520548,1108,0,1108,0,1,0,3,0.3921232876712329,6,1,4,1,1,1,280,0,0,6,95,95.0,75,18
50,0.15325342465753425,50.0,6060,0.6386986301369864,0.7157534246575342,0.023972602739726026,0.1053082191780822,4,5,0.7782534246575342,0.014554794520547944,0.015410958904109588,0,0.0,0.622431506849315,0.4392123287671233,3,1,1,0,732,732,0.1558219178082192,772,351,1123,0,1,0,3,0.5102739726027398,4,0,0,5,1,1,264,0,0,6,86,46.0,75,18
